time,pid,mode,segment,segment_offset,access_type
1,1,segmented-paging,0,64,R
2,1,segmented-paging,0,128,R
3,1,segmented-paging,0,256,R
4,1,segmented-paging,0,64,R
5,1,segmented-paging,0,512,R
6,2,segmented-paging,0,4096,R
7,1,segmented-paging,0,128,R
8,1,segmented-paging,0,768,R
9,2,segmented-paging,0,4352,R
10,1,segmented-paging,0,64,W
11,3,segmented-paging,0,0,R
12,3,segmented-paging,0,128,R
13,3,segmented-paging,0,64,R
14,1,segmented-paging,0,1024,R
15,2,segmented-paging,0,4096,W
16,2,segmented-paging,0,4352,R
17,1,segmented-paging,0,256,R
18,1,segmented-paging,0,64,R
19,2,segmented-paging,0,4608,R
20,1,segmented-paging,0,8192,R
21,2,segmented-paging,0,4864,R
22,1,segmented-paging,0,8320,R
23,3,segmented-paging,0,256,R
24,3,segmented-paging,0,512,R
25,1,segmented-paging,0,64,R
26,1,segmented-paging,0,128,R
27,1,segmented-paging,0,16384,R
28,2,segmented-paging,0,5120,R
29,2,segmented-paging,0,5120,R
30,1,segmented-paging,0,64,R
31,1,segmented-paging,0,192,R
32,3,segmented-paging,0,1024,R
33,3,segmented-paging,0,1280,R
34,2,segmented-paging,0,4096,R
35,1,segmented-paging,0,64,W
36,1,segmented-paging,0,128,R
37,1,segmented-paging,0,256,R
38,2,segmented-paging,0,6144,R
39,2,segmented-paging,0,6144,R
40,3,segmented-paging,0,1536,R
41,1,segmented-paging,0,64,R
42,1,segmented-paging,0,128,R
43,2,segmented-paging,0,4096,R
44,3,segmented-paging,0,512,R
45,3,segmented-paging,0,256,R
46,1,segmented-paging,0,64,R
47,1,segmented-paging,0,768,R
48,2,segmented-paging,0,8192,R
49,2,segmented-paging,0,8192,W
50,3,segmented-paging,0,1024,R
51,1,segmented-paging,0,64,R
52,1,segmented-paging,0,128,R
53,2,segmented-paging,0,4352,R
54,1,segmented-paging,0,256,R
55,3,segmented-paging,0,64,R
56,2,segmented-paging,0,5120,R
57,3,segmented-paging,0,64,R
58,1,segmented-paging,0,64,R
59,1,segmented-paging,0,128,W
60,2,segmented-paging,0,4608,R
