time,pid,mode,segment,segment_offset,access_type
1,2,segmented-paging,0,0,R
2,2,segmented-paging,0,128,R
3,2,segmented-paging,0,256,R
4,2,segmented-paging,0,384,R
5,2,segmented-paging,0,512,R
6,2,segmented-paging,0,640,R
7,2,segmented-paging,0,768,R
8,2,segmented-paging,0,896,R
9,2,segmented-paging,0,1024,R
10,2,segmented-paging,0,1152,R
11,2,segmented-paging,0,1280,R
12,2,segmented-paging,0,1408,R
13,2,segmented-paging,0,1536,R
14,2,segmented-paging,0,1664,R
15,2,segmented-paging,0,1792,R
16,2,segmented-paging,0,1920,R
17,2,segmented-paging,0,2048,R
18,2,segmented-paging,0,2176,R
19,2,segmented-paging,0,2304,R
20,2,segmented-paging,0,2432,R
21,2,segmented-paging,0,2560,R
22,2,segmented-paging,0,2688,R
23,2,segmented-paging,0,2816,R
24,2,segmented-paging,0,2944,R
25,2,segmented-paging,0,3072,R
26,2,segmented-paging,0,3200,R
27,2,segmented-paging,0,3328,R
28,2,segmented-paging,0,3456,R
29,2,segmented-paging,0,3584,R
30,2,segmented-paging,0,3712,R
31,2,segmented-paging,0,3840,R
32,2,segmented-paging,0,3968,R
33,2,segmented-paging,0,4096,R
34,2,segmented-paging,0,4224,R
35,2,segmented-paging,0,4352,R
36,2,segmented-paging,0,4480,R
37,2,segmented-paging,0,4608,R
38,2,segmented-paging,0,4736,R
39,2,segmented-paging,0,4864,R
40,2,segmented-paging,0,4992,R
41,2,segmented-paging,0,5120,R
42,2,segmented-paging,0,5248,R
43,2,segmented-paging,0,5376,R
44,2,segmented-paging,0,5504,R
45,2,segmented-paging,0,5632,R
46,2,segmented-paging,0,5760,R
47,2,segmented-paging,0,5888,R
48,2,segmented-paging,0,6016,R
49,2,segmented-paging,0,6144,R
50,2,segmented-paging,0,6272,R
51,2,segmented-paging,0,6400,R
52,2,segmented-paging,0,6528,R
53,2,segmented-paging,0,6656,R
54,2,segmented-paging,0,6784,R
55,2,segmented-paging,0,6912,R
56,2,segmented-paging,0,7040,R
57,2,segmented-paging,0,7168,R
58,2,segmented-paging,0,7296,R
59,2,segmented-paging,0,7424,R
60,2,segmented-paging,0,7552,R
